ID_Venda;ID_Loja;Produto;Categoria;Data_Venda;Qtd;Valor_Unitario
1;101;Câmera;Eletrônicos;2026-02-08;4.0;R$ 1455,83
2;105;Cabo HDMI;Acessórios;2026-01-03;4.0;R$ 96,78
3;105;Filtro de Linha;Acessórios;2026-02-19;;R$ 287,11
4;103;Mesa de Escritório;Móveis;2026-01-25;6.0;R$ 524,86
5;103;Câmera;Eletrônicos;2026-02-18;2.0;R$ 5373,64
6;105;Mesa de Escritório;Móveis;2026-03-03;1.0;R$ 1754,78
7;101;Hub USB;Acessórios;2026-02-21;6.0;R$ 73,68
8;101;Webcam;Periféricos;2026-03-08;3.0;R$ 172,55
9;102;Cadeira Gamer;Móveis;2026-01-27;1.0;R$ 2071,1
10;105;   mesa de escritório  ;Móveis;2026-03-16;7.0;R$ 2246,3
11;105;   gaveteiro  ;Móveis;2026-03-13;6.0;R$ 782,51
12;101;Monitor;Eletrônicos;2026-03-06;7.0;R$ 3603,12
13;103;Câmera;Eletrônicos;2026-03-04;9.0;R$ 4329,13
14;102;   cabo hdmi  ;Acessórios;2026-03-24;5.0;R$ 340,72
15;103;   teclado  ;Periféricos;2026-02-25;3.0;R$ 198,0
16;103;   cabo hdmi  ;Acessórios;2026-01-12;5.0;R$ 99,02
17;104;Smart TV;Eletrônicos;2026-01-05;8.0;R$ 5250,19
18;102;Microfone;Periféricos;2026-02-13;6.0;R$ 164,57
19;103;Smart TV;Eletrônicos;2026-03-08;;R$ 1835,02
20;101;Cadeira Gamer;Móveis;2026-03-08;5.0;R$ 1771,75
21;105;Filtro de Linha;Acessórios;2026-02-26;;R$ 82,84
22;104;   câmera  ;Eletrônicos;2026-03-21;2.0;R$ 1084,88
23;102;   webcam  ;Periféricos;2026-02-05;7.0;R$ 80,55
24;105;Notebook;Eletrônicos;2026-03-18;1.0;R$ 5354,28
25;104;Filtro de Linha;Acessórios;2026-02-02;3.0;R$ 145,06
26;104;Gaveteiro;Móveis;2026-03-24;9.0;R$ 1756,12
27;101;Câmera;Eletrônicos;2026-02-02;1.0;R$ 3545,63
28;105;Monitor;Eletrônicos;2026-01-20;2.0;R$ 3973,5
29;102;Smart TV;Eletrônicos;2026-01-14;10.0;R$ 3456,57
30;103;   headset  ;Periféricos;2026-02-05;5.0;R$ 170,88
31;105;Notebook;Eletrônicos;2026-03-07;9.0;R$ 2046,44
32;103;Mesa de Escritório;Móveis;2026-02-27;9.0;R$ 1847,79
33;101;Cadeira Gamer;Móveis;2026-01-09;2.0;R$ 2257,37
34;102;   mesa de escritório  ;Móveis;2026-03-21;5.0;R$ 1411,9
35;104;Cadeira Gamer;Móveis;2026-01-11;3.0;R$ 1701,65
36;104;   notebook  ;Eletrônicos;2026-01-23;3.0;R$ 3364,27
37;102;   tablet  ;Eletrônicos;2026-02-26;1.0;R$ 5024,95
38;105;Capa Protetora;Acessórios;2026-03-05;4.0;R$ 305,32
39;101;Microfone;Periféricos;2026-02-26;7.0;R$ 284,74
40;101;Cabo HDMI;Acessórios;2026-02-08;4.0;R$ 289,47
41;102;Mouse;Periféricos;2026-03-07;7.0;R$ 128,33
42;105;Capa Protetora;Acessórios;2026-02-01;2.0;R$ 309,42
43;101;Smart TV;Eletrônicos;2026-02-12;6.0;R$ 2851,05
44;102;Cadeira Gamer;Móveis;2026-03-14;1.0;R$ 1443,82
45;102;Gaveteiro;Móveis;2026-01-22;6.0;R$ 1670,94
46;105;Gaveteiro;Móveis;2026-02-13;5.0;R$ 1519,71
47;102;Gaveteiro;Móveis;2026-03-27;1.0;R$ 968,52
48;103;Carregador;Acessórios;2026-02-22;4.0;R$ 188,69
49;101;   suporte monitor  ;Móveis;2026-01-27;4.0;R$ 1780,15
50;102;Capa Protetora;Acessórios;2026-01-15;7.0;R$ 312,43
51;104;Teclado;Periféricos;2026-03-23;1.0;R$ 314,58
52;102;   microfone  ;Periféricos;2026-03-15;1.0;R$ 203,94
53;104;Gaveteiro;Móveis;2026-03-27;9.0;R$ 1238,83
54;104;Hub USB;Acessórios;2026-01-27;5.0;R$ 272,72
55;101;Mesa de Escritório;Móveis;2026-02-11;;R$ 2264,66
